Month,Year,Policy Rate 
SEP,2024,2.5
JUL,2024 ,2.5
JUL,2024 ,2.5
JUN,2024 ,2.5
MAY,2024 ,2.5
APR,2024 ,2.5
MAR,2024 ,2.5
FEB,2024 ,2.5
JAN,2024 ,2.5
DEC,2023 ,2.5
NOV,2023 ,2.5
OCT,2023 ,2.5
SEP,2023 ,2.5
AUG,2023 ,2.25
JUL,2023 ,2
JUN,2023 ,2
MAY,2023 ,2
APR,2023 ,1.75
MAR,2023 ,1.75
FEB,2023 ,1.5
JAN,2023,1.5
DEC,2022 ,1.25
NOV,2022 ,1.25
OCT,2022 ,1
SEP,2022 ,1
AUG,2022 ,0.75
JUL,2022 ,0.5
JUN,2022 ,0.5
MAY,2022 ,0.5
APR,2022 ,0.5
MAR,2022 ,0.5
FEB,2022 ,0.5
JAN,2022 ,0.5
DEC,2021 ,0.5
NOV,2021 ,0.5
OCT,2021 ,0.5
SEP,2021 ,0.5
AUG,2021 ,0.5
JUL,2021 ,0.5
JUN,2021 ,0.5
MAY,2021 ,0.5
APR,2021 ,0.5
MAR,2021 ,0.5
FEB,2021 ,0.5
JAN,2021 ,0.5
DEC,2020 ,0.5
NOV,2020 ,0.5
OCT,2020 ,0.5
SEP,2020 ,0.5
AUG,2020 ,0.5
JUL,2020 ,0.5
JUN,2020 ,0.5
MAY,2020 ,0.5
APR,2020 ,0.75
MAR,2020 ,0.75
FEB,2020 ,1
JAN,2020 ,1.25
DEC,2019 ,1.25
NOV,2019 ,1.25
OCT,2019 ,1.5
SEP,2019 ,1.5
AUG,2019 ,1.5
JUL,2019 ,1.75
JUN,2019 ,1.75
MAY,2019 ,1.75
APR,2019 ,1.75
MAR,2019 ,1.75
FEB,2019 ,1.75
JAN,2019 ,1.75
DEC,2018 ,1.75
NOV,2018 ,1.5
OCT,2018 ,1.5
SEP,2018 ,1.5
AUG,2018 ,1.5
JUL,2018 ,1.5
JUN,2018 ,1.5
MAY,2018 ,1.5
APR,2018 ,1.5
MAR,2018 ,1.5
FEB,2018 ,1.5
JAN,2018 ,1.5
DEC,2017 ,1.5
NOV,2017 ,1.5
OCT,2017 ,1.5
SEP,2017 ,1.5
AUG,2017 ,1.5
JUL,2017 ,1.5
JUN,2017 ,1.5
MAY,2017 ,1.5
APR,2017 ,1.5
MAR,2017 ,1.5
FEB,2017 ,1.5
JAN,2017 ,1.5
DEC,2016 ,1.5
NOV,2016 ,1.5
OCT,2016 ,1.5
SEP,2016 ,1.5
AUG,2016 ,1.5
JUL,2016 ,1.5
JUN,2016 ,1.5
MAY,2016 ,1.5
APR,2016 ,1.5
MAR,2016 ,1.5
FEB,2016 ,1.5
JAN,2016 ,1.5
DEC,2015 ,1.5
NOV,2015 ,1.5
OCT,2015 ,1.5
SEP,2015 ,1.5
AUG,2015 ,1.5
JUL,2015 ,1.5
JUN,2015 ,1.5
MAY,2015 ,1.5
APR,2015 ,1.5
MAR,2015 ,1.75
FEB,2015 ,2
JAN,2015 ,2
DEC,2014 ,2
NOV,2014 ,2
OCT,2014 ,2
SEP,2014 ,2
AUG,2014 ,2
JUL,2014 ,2
JUN,2014 ,2
MAY,2014 ,2
APR,2014 ,2
MAR,2014 ,2
FEB,2014 ,2.25
JAN,2014 ,2.25
DEC,2013 ,2.25
NOV,2013 ,2.25
OCT,2013 ,2.5
SEP,2013 ,2.5
AUG,2013 ,2.5
JUL,2013 ,2.5
JUN,2013 ,2.5
MAY,2013 ,2.5
APR,2013 ,2.75
MAR,2013 ,2.75
FEB,2013 ,2.75
JAN,2013 ,2.75
DEC,2012 ,2.75
NOV,2012 ,2.75
OCT,2012 ,2.75
SEP,2012 ,3
AUG,2012 ,3
JUL,2012 ,3
JUN,2012 ,3
MAY,2012 ,3
APR,2012 ,3
MAR,2012 ,3
FEB,2012 ,3
JAN,2012 ,3
DEC,2011 ,3.25
NOV,2011 ,3.25
OCT,2011 ,3.5
SEP,2011 ,3.5
AUG,2011 ,3.5
JUL,2011 ,3.25
JUN,2011 ,3
MAY,2011 ,2.75
APR,2011 ,2.75
MAR,2011 ,2.5
FEB,2011 ,2.25
JAN,2011 ,2.25
DEC,2010 ,2
NOV,2010 ,1.75
OCT,2010 ,1.75
SEP,2010 ,1.75
AUG,2010 ,1.75
JUL,2010 ,1.5
JUN,2010 ,1.25
MAY,2010 ,1.25
APR,2010 ,1.25
MAR,2010 ,1.25
FEB,2010 ,1.25
JAN,2010 ,1.25
DEC,2009 ,1.25
NOV,2009 ,1.25
OCT,2009 ,1.25
SEP,2009 ,1.25
AUG,2009 ,1.25
JUL,2009 ,1.25
JUN,2009 ,1.25
MAY,2009 ,1.25
APR,2009 ,1.25
MAR,2009 ,1.5
FEB,2009 ,1.5
JAN,2009 ,2
DEC,2008 ,2.75
NOV,2008 ,3.75
OCT,2008 ,3.75
SEP,2008 ,3.75
AUG,2008 ,3.75
JUL,2008 ,3.5
JUN,2008 ,3.25
MAY,2008 ,3.25
APR,2008 ,3.25
MAR,2008 ,3.25
FEB,2008 ,3.25
JAN,2008 ,3.25
DEC,2007 ,3.25
NOV,2007 ,3.25
OCT,2007 ,3.25
SEP,2007 ,3.25
AUG,2007 ,3.25
JUL,2007 ,3.25
JUN,2007 ,3.5
MAY,2007 ,3.5
APR,2007 ,4
MAR,2007 ,4.5
FEB,2007 ,4.5
JAN,2007 ,4.75
DEC,2006 ,5
NOV,2006 ,5
OCT,2006 ,5
SEP,2006 ,5
AUG,2006 ,5
JUL,2006 ,5
JUN,2006 ,5
MAY,2006 ,4.75
APR,2006 ,4.75
MAR,2006 ,4.5
FEB,2006 ,4.25
JAN,2006 ,4.25
DEC,2005 ,4
NOV,2005 ,3.75
OCT,2005 ,3.75
SEP,2005 ,3.25
AUG,2005 ,2.75
JUL,2005 ,2.75
JUN,2005 ,2.5
MAY,2005 ,2.25
APR,2005 ,2.25
MAR,2005 ,2.25
FEB,2005 ,2
JAN,2005 ,2